dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,2.920000,0.000100,0.010000,0.500000,25.000000,0.000000
0.020000,0.000350,2.920000,0.000450,0.017500,0.375000,-6.250000,0.000000
0.020000,0.001250,2.920000,0.001350,0.045000,1.375000,50.000000,0.000000
0.020000,0.002850,2.920000,0.002950,0.080000,1.750000,18.750000,0.000000
0.020000,0.005350,2.920000,0.005450,0.125000,2.250000,25.000000,0.000000
0.020000,0.008950,2.920000,0.009050,0.180000,2.750000,25.000000,0.000000
0.020000,0.013850,2.920000,0.013950,0.245000,3.250000,25.000000,0.000000
0.020000,0.020250,2.920000,0.020350,0.320000,3.750000,25.000000,0.000000
0.020000,0.028350,2.920000,0.028450,0.405000,4.250000,25.000000,0.000000
0.020000,0.038350,2.920000,0.038450,0.500000,4.750000,25.000000,0.000000
0.020000,0.050450,2.920000,0.050550,0.605000,5.250000,25.000000,0.000000
0.020000,0.064850,2.920000,0.064950,0.720000,5.750000,25.000000,0.000000
0.020000,0.081750,2.920000,0.081850,0.845000,6.250000,25.000000,0.000000
0.020000,0.101350,2.920000,0.101450,0.980000,6.750000,25.000000,0.000000
0.020000,0.123850,2.920000,0.123950,1.125000,7.250000,25.000000,0.000000
0.020000,0.149450,2.920000,0.149550,1.280000,7.750000,25.000000,0.000000
0.020000,0.178350,2.920000,0.178450,1.445000,8.250000,25.000000,0.000000
0.020000,0.210750,2.920000,0.210850,1.620000,8.750000,25.000000,0.000000
0.020000,0.246850,2.920000,0.246950,1.805000,9.250000,25.000000,0.000000
0.020000,0.286850,2.920000,0.286950,2.000000,9.750000,25.000000,0.000000
0.020000,0.330950,2.920000,0.331050,2.205000,10.250000,25.000000,0.000000
0.020000,0.379350,2.920000,0.379450,2.420000,10.750000,25.000000,0.000000
0.020000,0.432250,2.920000,0.432350,2.645000,11.250000,25.000000,0.000000
0.020000,0.489850,2.920000,0.489950,2.880000,11.750000,25.000000,0.000000
0.020000,0.552350,2.920000,0.552450,3.125000,12.250000,25.000000,0.000000
0.020000,0.619850,2.920000,0.619950,3.375000,12.500000,12.500000,0.000000
0.020000,0.692350,2.920000,0.692450,3.625000,12.500000,0.000000,0.000000
0.020000,0.769850,2.920000,0.769950,3.875000,12.500000,-0.000000,0.000000
0.020000,0.852350,2.920000,0.852450,4.125000,12.500000,0.000000,0.000000
0.020000,0.939850,2.920000,0.939950,4.375000,12.500000,0.000000,0.000000
0.020000,1.032350,2.920000,1.032450,4.625000,12.500000,0.000000,0.000000
0.020000,1.129850,2.920000,1.129950,4.875000,12.500000,-0.000000,0.000000
0.020000,1.232350,2.920000,1.232450,5.125000,12.500000,0.000000,0.000000
0.020000,1.339850,2.920000,1.339950,5.375000,12.500000,-0.000000,0.000000
0.020000,1.452350,2.920000,1.452450,5.625000,12.500000,0.000000,0.000000
0.020000,1.569850,2.920000,1.569950,5.875000,12.500000,0.000000,0.000000
0.020000,1.692350,2.920000,1.692450,6.125000,12.500000,0.000000,0.000000
0.020000,1.819850,2.920000,1.819950,6.375000,12.500000,-0.000000,0.000000
0.020000,1.952350,2.920000,1.952450,6.625000,12.500000,-0.000000,0.000000
0.020000,2.089850,2.920000,2.089950,6.875000,12.500000,0.000000,0.000000
0.020000,2.232250,2.920000,2.232350,7.120000,12.250000,-12.500000,0.000000
0.020000,2.379350,2.920000,2.379450,7.355000,11.750000,-25.000000,0.000000
