dt,x,y,position,velocity,acceleration,jerk,heading
0.020,0.001,12.500,0.001,0.141,7.059,352.941,6.283
0.020,0.007,12.500,0.007,0.282,7.059,0.001,6.283
0.020,0.020,12.500,0.020,0.635,17.647,529.415,6.283
0.020,0.042,12.500,0.042,1.129,24.706,352.950,6.283
0.020,0.078,12.500,0.078,1.765,31.765,352.961,6.283
0.020,0.128,12.500,0.128,2.541,38.825,352.980,6.283
0.020,0.198,12.500,0.198,3.459,45.885,353.008,6.283
0.020,0.288,12.500,0.288,4.518,52.946,353.046,6.283
0.020,0.402,12.500,0.402,5.718,60.008,353.097,6.283
0.020,0.544,12.500,0.544,7.059,67.071,353.160,6.283
0.020,0.714,12.500,0.714,8.542,74.136,353.239,6.283
0.020,0.918,12.500,0.918,10.166,81.203,353.333,6.283
0.020,1.156,12.500,1.156,11.932,88.271,353.442,6.283
0.020,1.433,12.500,1.433,13.838,95.343,353.568,6.283
0.020,1.751,12.500,1.751,15.887,102.417,353.709,6.283
0.020,2.112,12.500,2.112,18.077,109.494,353.864,6.283
0.020,2.521,12.500,2.521,20.408,116.575,354.032,6.283
0.020,2.978,12.500,2.978,22.881,123.659,354.211,6.283
0.020,3.488,12.500,3.488,25.496,130.747,354.397,6.283
0.020,4.053,12.500,4.053,28.253,137.839,354.587,6.283
0.020,4.676,12.500,4.676,31.152,144.934,354.774,6.283
0.020,5.360,12.500,5.360,34.192,152.033,354.954,6.283
0.020,6.108,12.499,6.108,37.375,159.136,355.119,6.283
0.020,6.922,12.499,6.922,40.700,166.241,355.260,6.283
0.020,7.805,12.499,7.805,44.167,173.348,355.368,6.283
0.020,8.759,12.499,8.759,47.705,176.923,178.735,6.283
0.020,9.784,12.498,9.784,51.245,176.962,1.951,6.283
0.020,10.880,12.497,10.880,54.785,176.997,1.741,6.282
0.020,12.046,12.496,12.046,58.325,177.026,1.460,6.282
0.020,13.283,12.495,13.283,61.866,177.048,1.107,6.282
0.020,14.592,12.494,14.592,65.407,177.062,0.679,6.282
0.020,15.971,12.492,15.971,68.949,177.065,0.174,6.282
0.020,17.420,12.490,17.420,72.490,177.057,-0.408,6.282
0.020,18.941,12.487,18.941,76.030,177.036,-1.068,6.281
0.020,20.531,12.484,20.531,79.500,173.463,-178.634,6.281
0.020,22.187,12.480,22.187,82.826,166.337,-356.296,6.281
0.020,23.908,12.476,23.908,86.010,159.194,-357.172,6.281
0.020,25.689,12.471,25.689,89.051,152.033,-358.043,6.280
0.020,27.528,12.465,27.528,91.948,144.855,-358.895,6.280
0.020,29.422,12.459,29.422,94.701,137.661,-359.713,6.280
0.020,31.368,12.451,31.368,97.310,130.451,-360.483,6.279
0.020,33.363,12.444,33.363,99.775,123.227,-361.193,6.279
0.020,35.405,12.435,35.405,102.095,115.991,-361.829,6.279
0.020,37.491,12.426,37.491,104.270,108.743,-362.383,6.279
0.020,39.617,12.415,39.617,106.299,101.486,-362.844,6.278
0.020,41.780,12.405,41.780,108.184,94.222,-363.204,6.278
0.020,43.979,12.394,43.979,109.923,86.953,-363.458,6.278
0.020,46.209,12.382,46.209,111.516,79.681,-363.600,6.278
0.020,48.468,12.370,48.468,112.965,72.408,-363.627,6.278
0.020,50.753,12.358,50.754,114.267,65.137,-363.536,6.278
0.020,53.062,12.346,53.062,115.425,57.871,-363.327,6.278
0.020,55.391,12.334,55.391,116.437,50.611,-363.001,6.278
0.020,57.737,12.323,57.737,117.304,43.360,-362.561,6.278
0.020,60.097,12.312,60.098,118.027,36.120,-362.008,6.279
0.020,62.469,12.302,62.470,118.604,28.893,-361.349,6.279
0.020,64.850,12.293,64.850,119.038,21.681,-360.588,6.280
