dt,x,y,position,velocity,acceleration,jerk,heading
0.020,0.001,-12.500,0.001,0.141,7.059,352.941,6.283
0.020,0.007,-12.500,0.007,0.282,7.059,-0.001,6.283
0.020,0.020,-12.500,0.020,0.635,17.647,529.409,6.283
0.020,0.042,-12.500,0.042,1.129,24.706,352.932,6.283
0.020,0.078,-12.500,0.078,1.765,31.764,352.921,6.283
0.020,0.128,-12.500,0.128,2.541,38.822,352.902,6.283
0.020,0.198,-12.500,0.198,3.459,45.880,352.874,6.283
0.020,0.288,-12.500,0.288,4.517,52.936,352.836,6.283
0.020,0.402,-12.500,0.402,5.717,59.992,352.786,6.283
0.020,0.544,-12.500,0.544,7.058,67.046,352.722,6.283
0.020,0.714,-12.500,0.714,8.540,74.099,352.644,6.283
0.020,0.918,-12.500,0.918,10.163,81.150,352.550,6.283
0.020,1.156,-12.500,1.156,11.927,88.199,352.440,6.283
0.020,1.433,-12.500,1.433,13.832,95.245,352.315,6.283
0.020,1.750,-12.500,1.750,15.878,102.289,352.174,6.283
0.020,2.112,-12.500,2.112,18.064,109.329,352.018,6.283
0.020,2.519,-12.500,2.519,20.392,116.366,351.850,6.283
0.020,2.977,-12.500,2.977,22.860,123.400,351.671,6.283
0.020,3.486,-12.500,3.486,25.468,130.429,351.485,6.283
0.020,4.050,-12.500,4.050,28.217,137.455,351.296,6.283
0.020,4.672,-12.500,4.672,31.107,144.477,351.108,6.283
0.020,5.355,-12.500,5.355,34.137,151.496,350.928,6.283
0.020,6.101,-12.501,6.101,37.307,158.511,350.763,6.283
0.020,6.914,-12.501,6.914,40.618,165.524,350.622,6.283
0.020,7.795,-12.501,7.795,44.068,172.534,350.514,6.283
0.020,8.747,-12.501,8.747,47.589,176.018,174.206,6.283
0.020,9.769,-12.502,9.769,51.108,175.979,-1.951,6.283
0.020,10.862,-12.503,10.862,54.627,175.944,-1.741,6.282
0.020,12.024,-12.504,12.024,58.145,175.915,-1.460,6.282
0.020,13.258,-12.505,13.258,61.663,175.893,-1.107,6.282
0.020,14.561,-12.506,14.561,65.181,175.879,-0.679,6.282
0.020,15.935,-12.508,15.935,68.698,175.876,-0.174,6.282
0.020,17.380,-12.510,17.380,72.216,175.884,0.408,6.282
0.020,18.894,-12.513,18.894,75.734,175.905,1.068,6.281
0.020,20.478,-12.516,20.478,79.183,172.419,-174.307,6.281
0.020,22.128,-12.520,22.128,82.491,165.428,-349.586,6.281
0.020,23.841,-12.524,23.841,85.660,158.453,-348.710,6.281
0.020,25.615,-12.529,25.615,88.690,151.497,-347.839,6.280
0.020,27.446,-12.535,27.446,91.581,144.557,-346.987,6.280
0.020,29.333,-12.541,29.333,94.334,137.633,-346.169,6.280
0.020,31.272,-12.548,31.272,96.948,130.725,-345.399,6.279
0.020,33.261,-12.556,33.261,99.425,123.832,-344.690,6.279
0.020,35.296,-12.565,35.296,101.764,116.951,-344.053,6.279
0.020,37.375,-12.574,37.375,103.966,110.081,-343.499,6.279
0.020,39.496,-12.584,39.496,106.030,103.220,-343.038,6.278
0.020,41.655,-12.595,41.655,107.957,96.366,-342.678,6.278
0.020,43.850,-12.606,43.850,109.748,89.518,-342.424,6.278
0.020,46.078,-12.618,46.078,111.401,82.672,-342.282,6.278
0.020,48.336,-12.630,48.336,112.918,75.827,-342.256,6.278
0.020,50.622,-12.642,50.622,114.297,68.980,-342.347,6.278
0.020,52.933,-12.654,52.933,115.540,62.129,-342.555,6.278
0.020,55.266,-12.666,55.266,116.645,55.271,-342.881,6.278
0.020,57.618,-12.677,57.618,117.614,48.405,-343.322,6.278
0.020,59.987,-12.688,59.987,118.444,41.527,-343.875,6.279
