dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,2.920000,0.000118,0.011765,0.588235,29.411765,0.000000
0.020000,0.000338,2.920000,0.000456,0.016912,0.257353,-16.544118,0.000000
0.020000,0.001397,2.920000,0.001515,0.052941,1.801471,77.205882,0.000000
0.020000,0.003279,2.920000,0.003397,0.094118,2.058824,12.867647,0.000000
0.020000,0.006221,2.920000,0.006338,0.147059,2.647059,29.411765,0.000000
0.020000,0.010456,2.920000,0.010574,0.211765,3.235294,29.411765,0.000000
0.020000,0.016221,2.920000,0.016338,0.288235,3.823529,29.411765,0.000000
0.020000,0.023750,2.920000,0.023868,0.376471,4.411765,29.411765,0.000000
0.020000,0.033279,2.920000,0.033397,0.476471,5.000000,29.411765,0.000000
0.020000,0.045044,2.920000,0.045162,0.588235,5.588235,29.411765,0.000000
0.020000,0.059279,2.920000,0.059397,0.711765,6.176471,29.411765,0.000000
0.020000,0.076221,2.920000,0.076338,0.847059,6.764706,29.411765,0.000000
0.020000,0.096103,2.920000,0.096221,0.994118,7.352941,29.411765,0.000000
0.020000,0.119162,2.920000,0.119279,1.152941,7.941176,29.411765,0.000000
0.020000,0.145632,2.920000,0.145750,1.323529,8.529412,29.411765,0.000000
0.020000,0.175750,2.920000,0.175868,1.505882,9.117647,29.411765,0.000000
0.020000,0.209750,2.920000,0.209868,1.700000,9.705882,29.411765,0.000000
0.020000,0.247868,2.920000,0.247985,1.905882,10.294118,29.411765,0.000000
0.020000,0.290338,2.920000,0.290456,2.123529,10.882353,29.411765,0.000000
0.020000,0.337397,2.920000,0.337515,2.352941,11.470588,29.411765,0.000000
0.020000,0.389279,2.920000,0.389397,2.594118,12.058824,29.411765,0.000000
0.020000,0.446221,2.920000,0.446338,2.847059,12.647059,29.411765,0.000000
0.020000,0.508456,2.920000,0.508574,3.111765,13.235294,29.411765,0.000000
0.020000,0.576221,2.920000,0.576338,3.388235,13.823529,29.411765,0.000000
0.020000,0.649750,2.920000,0.649868,3.676471,14.411765,29.411765,0.000000
0.020000,0.729162,2.920000,0.729279,3.970588,14.705882,14.705882,0.000000
0.020000,0.814456,2.920000,0.814574,4.264706,14.705882,-0.000000,0.000000
0.020000,0.905632,2.920000,0.905750,4.558824,14.705882,-0.000000,0.000000
0.020000,1.002691,2.920000,1.002809,4.852941,14.705882,0.000000,0.000000
0.020000,1.105632,2.920000,1.105750,5.147059,14.705882,-0.000000,0.000000
0.020000,1.214456,2.920000,1.214574,5.441176,14.705882,0.000000,0.000000
0.020000,1.329162,2.920000,1.329279,5.735294,14.705882,-0.000000,0.000000
0.020000,1.449750,2.920000,1.449868,6.029412,14.705882,0.000000,0.000000
0.020000,1.576221,2.920000,1.576338,6.323529,14.705882,0.000000,0.000000
0.020000,1.708456,2.920000,1.708574,6.611765,14.411765,-14.705882,0.000000
0.020000,1.846221,2.920000,1.846338,6.888235,13.823529,-29.411765,0.000000
0.020000,1.989279,2.920000,1.989397,7.152941,13.235294,-29.411765,0.000000
0.020000,2.137397,2.920000,2.137515,7.405882,12.647059,-29.411765,0.000000
0.020000,2.290338,2.920000,2.290456,7.647059,12.058824,-29.411765,0.000000
0.020000,2.447868,2.920000,2.447985,7.876471,11.470588,-29.411765,0.000000
0.020000,2.609750,2.920000,2.609868,8.094118,10.882353,-29.411765,0.000000
0.020000,2.775750,2.920000,2.775868,8.300000,10.294118,-29.411765,0.000000
0.020000,2.945632,2.920000,2.945750,8.494118,9.705882,-29.411765,0.000000
0.020000,3.119162,2.920000,3.119279,8.676471,9.117647,-29.411765,0.000000
0.020000,3.296103,2.920000,3.296221,8.847059,8.529412,-29.411765,0.000000
0.020000,3.476221,2.920000,3.476338,9.005882,7.941176,-29.411765,0.000000
0.020000,3.659279,2.920000,3.659397,9.152941,7.352941,-29.411765,0.000000
0.020000,3.845044,2.920000,3.845162,9.288235,6.764706,-29.411765,0.000000
0.020000,4.033279,2.920000,4.033397,9.411765,6.176471,-29.411765,0.000000
0.020000,4.223750,2.920000,4.223868,9.523529,5.588235,-29.411765,0.000000
0.020000,4.416221,2.920000,4.416338,9.623529,5.000000,-29.411765,0.000000
0.020000,4.610456,2.920000,4.610574,9.711765,4.411765,-29.411765,0.000000
0.020000,4.806221,2.920000,4.806338,9.788235,3.823529,-29.411765,0.000000
0.020000,5.003279,2.920000,5.003397,9.852941,3.235294,-29.411765,0.000000
0.020000,5.201397,2.920000,5.201515,9.905882,2.647059,-29.411765,0.000000
0.020000,5.400338,2.920000,5.400456,9.947059,2.058824,-29.411765,0.000000
0.020000,5.599868,2.920000,5.599985,9.976471,1.470588,-29.411765,0.000000
0.020000,5.799750,2.920000,5.799868,9.994118,0.882353,-29.411765,0.000000
0.020000,5.999750,2.920000,5.999868,10.000000,0.294118,-29.411765,0.000000
