dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.000245,2.400000,0.000360,0.036000,1.800000,90.000000,0.000000
0.020000,2.001685,2.400000,0.001800,0.072000,1.800000,0.000000,0.000000
0.020000,2.004925,2.400000,0.005040,0.162000,4.500000,135.000000,0.000000
0.020000,2.010685,2.400000,0.010800,0.288000,6.300000,90.000000,0.000000
0.020000,2.019685,2.400000,0.019800,0.450000,8.100000,90.000000,0.000000
0.020000,2.032285,2.400000,0.032400,0.630000,9.000000,45.000000,0.000000
0.020000,2.048485,2.400000,0.048600,0.810000,9.000000,0.000000,0.000000
0.020000,2.068285,2.400000,0.068400,0.990000,9.000000,0.000000,0.000000
0.020000,2.091685,2.400000,0.091800,1.170000,9.000000,-0.000000,0.000000
0.020000,2.118685,2.400000,0.118800,1.350000,9.000000,0.000000,0.000000
0.020000,2.149285,2.400000,0.149400,1.530000,9.000000,0.000000,0.000000
0.020000,2.183485,2.400000,0.183600,1.710000,9.000000,-0.000000,0.000000
0.020000,2.221285,2.400000,0.221400,1.890000,9.000000,0.000000,0.000000
0.020000,2.262685,2.400000,0.262800,2.070000,9.000000,-0.000000,0.000000
0.020000,2.307685,2.400000,0.307800,2.250000,9.000000,0.000000,0.000000
0.020000,2.356285,2.400000,0.356400,2.430000,9.000000,0.000000,0.000000
0.020000,2.408485,2.400000,0.408600,2.610000,9.000000,-0.000000,0.000000
0.020000,2.464285,2.400000,0.464400,2.790000,9.000000,0.000000,0.000000
0.020000,2.523685,2.400000,0.523800,2.970000,9.000000,0.000000,0.000000
0.020000,2.586685,2.400000,0.586800,3.150000,9.000000,0.000000,0.000000
0.020000,2.653285,2.400000,0.653400,3.330000,9.000000,0.000000,0.000000
0.020000,2.723485,2.400000,0.723600,3.510000,9.000000,0.000000,0.000000
0.020000,2.797285,2.400000,0.797400,3.690000,9.000000,0.000000,0.000000
0.020000,2.874685,2.400000,0.874800,3.870000,9.000000,-0.000000,0.000000
0.020000,2.955685,2.400000,0.955800,4.050000,9.000000,-0.000000,0.000000
0.020000,3.040285,2.400000,1.040400,4.230000,9.000000,0.000000,0.000000
0.020000,3.128485,2.400000,1.128600,4.410000,9.000000,0.000000,0.000000
0.020000,3.220285,2.400000,1.220400,4.590000,9.000000,0.000000,0.000000
0.020000,3.315685,2.400000,1.315800,4.770000,9.000000,0.000000,0.000000
0.020000,3.414685,2.400000,1.414800,4.950000,9.000000,0.000000,0.000000
0.020000,3.517285,2.400000,1.517400,5.130000,9.000000,-0.000000,0.000000
0.020000,3.623485,2.400000,1.623600,5.310000,9.000000,0.000000,0.000000
0.020000,3.733285,2.400000,1.733400,5.490000,9.000000,0.000000,0.000000
0.020000,3.846685,2.400000,1.846800,5.670000,9.000000,0.000000,0.000000
0.020000,3.963685,2.400000,1.963800,5.850000,9.000000,-0.000000,0.000000
0.020000,4.084285,2.400000,2.084400,6.030000,9.000000,0.000000,0.000000
0.020000,4.208485,2.400000,2.208600,6.210000,9.000000,0.000000,0.000000
0.020000,4.336285,2.400000,2.336400,6.390000,9.000000,0.000000,0.000000
0.020000,4.467685,2.400000,2.467800,6.570000,9.000000,-0.000000,0.000000
0.020000,4.602685,2.400000,2.602800,6.750000,9.000000,0.000000,0.000000
0.020000,4.741285,2.400000,2.741400,6.930000,9.000000,0.000000,0.000000
0.020000,4.883485,2.400000,2.883600,7.110000,9.000000,0.000000,0.000000
0.020000,5.029285,2.400000,3.029400,7.290000,9.000000,-0.000000,0.000000
0.020000,5.178685,2.400000,3.178800,7.470000,9.000000,0.000000,0.000000
0.020000,5.331685,2.400000,3.331800,7.650000,9.000000,-0.000000,0.000000
0.020000,5.488285,2.400000,3.488400,7.830000,9.000000,0.000000,0.000000
0.020000,5.648485,2.400000,3.648600,8.010000,9.000000,-0.000000,0.000000
0.020000,5.812285,2.400000,3.812400,8.190000,9.000000,0.000000,0.000000
0.020000,5.979685,2.400000,3.979800,8.370000,9.000000,-0.000000,0.000000
0.020000,6.150685,2.400000,4.150800,8.550000,9.000000,0.000000,0.000000
0.020000,6.324925,2.400000,4.325040,8.712000,8.100000,-45.000000,0.000000
